Provincia;Anio;Especie;Casos
Morona Santiago;2020;B519;509
Orellana;2020;B519;377
Cotopaxi;2020;B519;365
Pastaza;2020;B519;314
Esmeraldas;2020;B519;4
Sucumbios;2020;B519;46
El Oro;2020;B519;42
Santa Elena;2020;B519;16
Manabí;2020;B519;8
Guayas;2020;B519;6
Los Rios;2020;B519;7
Napo;2020;B519;5
Santo Domingo de los Tsachilas;2020;B519;4
Bolívar;2020;B519;2
Carchi;2020;B519;0
Imbabura;2020;B519;1
Pichincha;2020;B519;2
Azuay;2020;B519;1
Tungurahua;2020;B519;1
Galapagos;2020;B519;0
Chimborazo;2020;B519;0
Zamora Chinchipe;2020;B519;0
Loja;2020;B519;0
Cañar;2020;B519;0
Zona No delimitada;2020;B519;0
Morona Santiago;2020;B500;26
Orellana;2020;B500;0
Cotopaxi;2020;B500;1
Pastaza;2020;B500;10
Esmeraldas;2020;B500;193
Sucumbios;2020;B500;0
El Oro;2020;B500;1
Santa Elena;2020;B500;0
Manabí;2020;B500;0
Guayas;2020;B500;1
Los Rios;2020;B500;0
Napo;2020;B500;0
Santo Domingo de los Tsachilas;2020;B500;0
Bolívar;2020;B500;0
Carchi;2020;B500;2
Imbabura;2020;B500;1
Pichincha;2020;B500;0
Azuay;2020;B500;0
Tungurahua;2020;B500;0
Galapagos;2020;B500;0
Chimborazo;2020;B500;0
Zamora Chinchipe;2020;B500;0
Loja;2020;B500;0
Cañar;2020;B500;0
Zona No delimitada;2020;B500;0
Morona Santiago;2020;B500-B509;0
Orellana;2020;B500-B509;0
Cotopaxi;2020;B500-B509;0
Pastaza;2020;B500-B509;0
Esmeraldas;2020;B500-B509;1
Sucumbios;2020;B500-B509;0
El Oro;2020;B500-B509;0
Santa Elena;2020;B500-B509;0
Manabí;2020;B500-B509;0
Guayas;2020;B500-B509;0
Los Rios;2020;B500-B509;0
Napo;2020;B500-B509;0
Santo Domingo de los Tsachilas;2020;B500-B509;0
Bolívar;2020;B500-B509;0
Carchi;2020;B500-B509;0
Imbabura;2020;B500-B509;0
Pichincha;2020;B500-B509;0
Azuay;2020;B500-B509;0
Tungurahua;2020;B500-B509;0
Galapagos;2020;B500-B509;0
Chimborazo;2020;B500-B509;0
Zamora Chinchipe;2020;B500-B509;0
Loja;2020;B500-B509;0
Cañar;2020;B500-B509;0
Zona No delimitada;2020;B500-B509;0
Morona Santiago;2021;B519;694
Orellana;2021;B519;588
Cotopaxi;2021;B519;150
Pastaza;2021;B519;372
Esmeraldas;2021;B519;21
Sucumbios;2021;B519;82
El Oro;2021;B519;0
Santa Elena;2021;B519;0
Manabí;2021;B519;8
Guayas;2021;B519;6
Los Rios;2021;B519;30
Napo;2021;B519;15
Santo Domingo de los Tsachilas;2021;B519;7
Bolívar;2021;B519;0
Carchi;2021;B519;1
Imbabura;2021;B519;2
Pichincha;2021;B519;6
Azuay;2021;B519;0
Tungurahua;2021;B519;0
Galapagos;2021;B519;0
Chimborazo;2021;B519;0
Zamora Chinchipe;2021;B519;0
Loja;2021;B519;0
Cañar;2021;B519;0
Zona No delimitada;2021;B519;0
Morona Santiago;2021;B500;51
Orellana;2021;B500;0
Cotopaxi;2021;B500;0
Pastaza;2021;B500;17
Esmeraldas;2021;B500;169
Sucumbios;2021;B500;1
El Oro;2021;B500;0
Santa Elena;2021;B500;0
Manabí;2021;B500;0
Guayas;2021;B500;0
Los Rios;2021;B500;0
Napo;2021;B500;0
Santo Domingo de los Tsachilas;2021;B500;1
Bolívar;2021;B500;0
Carchi;2021;B500;0
Imbabura;2021;B500;0
Pichincha;2021;B500;2
Azuay;2021;B500;0
Tungurahua;2021;B500;0
Galapagos;2021;B500;0
Chimborazo;2021;B500;0
Zamora Chinchipe;2021;B500;0
Loja;2021;B500;0
Cañar;2021;B500;0
Zona No delimitada;2021;B500;0
Morona Santiago;2021;B500-B509;6
Orellana;2021;B500-B509;0
Cotopaxi;2021;B500-B509;0
Pastaza;2021;B500-B509;0
Esmeraldas;2021;B500-B509;9
Sucumbios;2021;B500-B509;0
El Oro;2021;B500-B509;0
Santa Elena;2021;B500-B509;0
Manabí;2021;B500-B509;0
Guayas;2021;B500-B509;0
Los Rios;2021;B500-B509;0
Napo;2021;B500-B509;0
Santo Domingo de los Tsachilas;2021;B500-B509;0
Bolívar;2021;B500-B509;0
Carchi;2021;B500-B509;0
Imbabura;2021;B500-B509;0
Pichincha;2021;B500-B509;1
Azuay;2021;B500-B509;0
Tungurahua;2021;B500-B509;0
Galapagos;2021;B500-B509;0
Chimborazo;2021;B500-B509;0
Zamora Chinchipe;2021;B500-B509;0
Loja;2021;B500-B509;0
Cañar;2021;B500-B509;0
Zona No delimitada;2021;B500-B509;0
Morona Santiago;2022;B519;291
Orellana;2022;B519;313
Cotopaxi;2022;B519;60
Pastaza;2022;B519;225
Esmeraldas;2022;B519;15
Sucumbios;2022;B519;101
El Oro;2022;B519;0
Santa Elena;2022;B519;2
Manabí;2022;B519;2
Guayas;2022;B519;3
Los Rios;2022;B519;1
Napo;2022;B519;6
Santo Domingo de los Tsachilas;2022;B519;1
Bolívar;2022;B519;0
Carchi;2022;B519;1
Imbabura;2022;B519;2
Pichincha;2022;B519;6
Azuay;2022;B519;0
Tungurahua;2022;B519;0
Galapagos;2022;B519;0
Chimborazo;2022;B519;0
Zamora Chinchipe;2022;B519;0
Loja;2022;B519;0
Cañar;2022;B519;0
Zona No delimitada;2022;B519;0
Morona Santiago;2022;B500;62
Orellana;2022;B500;0
Cotopaxi;2022;B500;0
Pastaza;2022;B500;4
Esmeraldas;2022;B500;109
Sucumbios;2022;B500;0
El Oro;2022;B500;0
Santa Elena;2022;B500;0
Manabí;2022;B500;2
Guayas;2022;B500;0
Los Rios;2022;B500;0
Napo;2022;B500;0
Santo Domingo de los Tsachilas;2022;B500;1
Bolívar;2022;B500;0
Carchi;2022;B500;0
Imbabura;2022;B500;0
Pichincha;2022;B500;0
Azuay;2022;B500;0
