Provincia;Anio;Especie;Casos
Morona Santiago;2020;B519;509
Morona Santiago;2020;B500;26
Morona Santiago;2020;B500-B509;0
Orellana;2020;B519;377
Orellana;2020;B500;0
Orellana;2020;B500-B509;0
Cotopaxi;2020;B519;365
Cotopaxi;2020;B500;1
Cotopaxi;2020;B500-B509;0
Pastaza;2020;B519;314
Pastaza;2020;B500;10
Pastaza;2020;B500-B509;0
Esmeraldas;2020;B519;4
Esmeraldas;2020;B500;193
Esmeraldas;2020;B500-B509;1
Sucumbios;2020;B519;46
Sucumbios;2020;B500;0
Sucumbios;2020;B500-B509;0
El Oro;2020;B519;42
El Oro;2020;B500;1
El Oro;2020;B500-B509;0
Santa Elena;2020;B519;16
Santa Elena;2020;B500;0
Santa Elena;2020;B500-B509;0
Manabí;2020;B519;8
Manabí;2020;B500;0
Manabí;2020;B500-B509;0
Guayas;2020;B519;6
Guayas;2020;B500;1
Guayas;2020;B500-B509;0
Los Rios;2020;B519;7
Los Rios;2020;B500;0
Los Rios;2020;B500-B509;0
Napo;2020;B519;5
Napo;2020;B500;0
Napo;2020;B500-B509;0
Santo Domingo de los Tsachilas;2020;B519;4
Santo Domingo de los Tsachilas;2020;B500;0
Santo Domingo de los Tsachilas;2020;B500-B509;0
Bolívar;2020;B519;2
Bolívar;2020;B500;0
Bolívar;2020;B500-B509;0
Carchi;2020;B519;0
Carchi;2020;B500;2
Carchi;2020;B500-B509;0
Imbabura;2020;B519;1
Imbabura;2020;B500;1
Imbabura;2020;B500-B509;0
Pichincha;2020;B519;2
Pichincha;2020;B500;0
Pichincha;2020;B500-B509;0
Azuay;2020;B519;1
Azuay;2020;B500;0
Azuay;2020;B500-B509;0
Tungurahua;2020;B519;1
Tungurahua;2020;B500;0
Tungurahua;2020;B500-B509;0
Galapagos;2020;B519;0
Galapagos;2020;B500;0
Galapagos;2020;B500-B509;0
Chimborazo;2020;B519;0
Chimborazo;2020;B500;0
Chimborazo;2020;B500-B509;0
Zamora Chinchipe;2020;B519;0
Zamora Chinchipe;2020;B500;0
Zamora Chinchipe;2020;B500-B509;0
Loja;2020;B519;0
Loja;2020;B500;0
Loja;2020;B500-B509;0
Cañar;2020;B519;0
Cañar;2020;B500;0
Cañar;2020;B500-B509;0
Zona No delimitada;2020;B519;0
Zona No delimitada;2020;B500;0
Zona No delimitada;2020;B500-B509;0
Morona Santiago;2021;B519;694
Morona Santiago;2021;B500;51
Morona Santiago;2021;B500-B509;6
Orellana;2021;B519;588
Orellana;2021;B500;0
Orellana;2021;B500-B509;0
Cotopaxi;2021;B519;150
Cotopaxi;2021;B500;0
Cotopaxi;2021;B500-B509;0
Pastaza;2021;B519;372
Pastaza;2021;B500;17
Pastaza;2021;B500-B509;0
Esmeraldas;2021;B519;21
Esmeraldas;2021;B500;169
Esmeraldas;2021;B500-B509;9
Sucumbios;2021;B519;82
Sucumbios;2021;B500;1
Sucumbios;2021;B500-B509;0
El Oro;2021;B519;0
El Oro;2021;B500;0
El Oro;2021;B500-B509;0
Santa Elena;2021;B519;0
Santa Elena;2021;B500;0
Santa Elena;2021;B500-B509;0
Manabí;2021;B519;8
Manabí;2021;B500;0
Manabí;2021;B500-B509;0
Guayas;2021;B519;6
Guayas;2021;B500;0
Guayas;2021;B500-B509;0
Los Rios;2021;B519;30
Los Rios;2021;B500;0
Los Rios;2021;B500-B509;0
Napo;2021;B519;15
Napo;2021;B500;0
Napo;2021;B500-B509;0
Santo Domingo de los Tsachilas;2021;B519;7
Santo Domingo de los Tsachilas;2021;B500;1
Santo Domingo de los Tsachilas;2021;B500-B509;0
Bolívar;2021;B519;0
Bolívar;2021;B500;0
Bolívar;2021;B500-B509;0
Carchi;2021;B519;1
Carchi;2021;B500;0
Carchi;2021;B500-B509;0
Imbabura;2021;B519;2
Imbabura;2021;B500;0
Imbabura;2021;B500-B509;0
Pichincha;2021;B519;6
Pichincha;2021;B500;2
Pichincha;2021;B500-B509;1
Azuay;2021;B519;0
Azuay;2021;B500;0
Azuay;2021;B500-B509;0
Tungurahua;2021;B519;0
Tungurahua;2021;B500;0
Tungurahua;2021;B500-B509;0
Galapagos;2021;B519;0
Galapagos;2021;B500;0
Galapagos;2021;B500-B509;0
Chimborazo;2021;B519;0
Chimborazo;2021;B500;0
Chimborazo;2021;B500-B509;0
Zamora Chinchipe;2021;B519;0
Zamora Chinchipe;2021;B500;0
Zamora Chinchipe;2021;B500-B509;0
Loja;2021;B519;0
Loja;2021;B500;0
Loja;2021;B500-B509;0
Cañar;2021;B519;0
Cañar;2021;B500;0
Cañar;2021;B500-B509;0
Zona No delimitada;2021;B519;2
Zona No delimitada;2021;B500;0
Zona No delimitada;2021;B500-B509;0
Morona Santiago;2022;B519;291
Morona Santiago;2022;B500;62
Morona Santiago;2022;B500-B509;0
Orellana;2022;B519;313
Orellana;2022;B500;0
Orellana;2022;B500-B509;0
Cotopaxi;2022;B519;60
Cotopaxi;2022;B500;0
Cotopaxi;2022;B500-B509;0
Pastaza;2022;B519;225
Pastaza;2022;B500;4
Pastaza;2022;B500-B509;0
Esmeraldas;2022;B519;15
Esmeraldas;2022;B500;109
Esmeraldas;2022;B500-B509;6
Sucumbios;2022;B519;101
Sucumbios;2022;B500;0
Sucumbios;2022;B500-B509;0
El Oro;2022;B519;0
El Oro;2022;B500;0
El Oro;2022;B500-B509;0
Santa Elena;2022;B519;2
Santa Elena;2022;B500;0
Santa Elena;2022;B500-B509;0
Manabí;2022;B519;2
Manabí;2022;B500;2
Manabí;2022;B500-B509;0
Guayas;2022;B519;3
Guayas;2022;B500;0
Guayas;2022;B500-B509;0
